USER_ID,ITEM_ID,EVENT_ID
aapril,VALUE-40,3
aapril,VALUE-40,6
aapril,VALUE-40,4
aapril,VALUE-40,7
aapril,VALUE-40,8
aapril,VALUE-40,8
aapril,VALUE-40,6
aggarwala,VALUE-44,8
aggarwala,VALUE-45,9
aggarwala,VALUE-46,8
aggarwala,VALUE-47,10
kiatkengn,HOL-2008-04-ODY-HOL,3
skhatri,HOL-2010-01-SDC-HOL,7
stakeuchi,HOL-2051-09-UEM-HOL,3
yashg,HOL-2010-01-SDC-HOL,5
hathawayju,HOL-2032-91-CNA-HOL,1
rkanotra,HOL-2010-01-SDC-HOL,7
taehwal,HOL-2083-01-HBD-HOL,3
gohj,HOL-2008-04-ODY-HOL,1
smahamood,HOL-2003-01-NET-HOL,5
lkate,HOL-2051-09-UEM-HOL,0
lkate,HOL-2001-91-ISM-HOL,9
wmarty,HOL-2001-01-CMP-HOL,8
rohitsingh,HOL-2086-01-EMT-HOL,9
jnancy,HOL-2051-04-VWS-HOL,0
uagarwal,HOL-2008-01-HCI-HOL,6
gsundaram,HOL-2001-07-ODY-HOL,4
helnawasany,HOL-2011-01-SDC-HOL,4
rohitsingh,HOL-2086-02-EMT-HOL,9
rohitsingh,HOL-2026-02-NET-HOL,1
rohitsingh,HOL-2026-01-NET-HOL,7
ckoh,HOL-2051-01-VWS-HOL,0
valex,HOL-2026-01-NET-HOL,4
nshekhawat,HOL-2051-91-VWS-HOL,8
tnakajima,HOL-2010-01-SDC-HOL,10
rkona,HOL-2051-09-UEM-HOL,4
nkota,HOL-2001-07-ODY-HOL,5
taiseih,HOL-2004-01-SDC-HOL,6
yusukes,HOL-2051-02-VWS-HOL,9
smomber,HOL-2001-91-ISM-HOL,2
sturdivantg,HOL-2051-10-UEM-HOL,0
kdunne,HOL-2011-01-SDC,7
yjiawei,HOL-2090-01-ISM-HOL,1
smomber,HOL-2081-01-HBD-HOL,1
mlieblong,HOL-2081-01-HBD-HOL,4
satyanarayaa,HOL-2031-01-CNA-HOL,6
sanjaydavid,HOL-2083-02-HBD-HOL,5
sanjaydavid,HOL-2082-02-HBD-HOL,5
abbasia,HOL-2032-01-CNA-HOL,1
mferratt,HOL-2081-01-HBD-HOL,0
pswathi,HOL-2001-05-CMP-HOL,3
mzaske,HOL-2008-01-HCI-HOL,7
wmaadarani,HOL-2008-01-HCI-HOL,5
mfrey,HOL-2045-01-SLN-HOL,2
jscallan,HOL-2040-01-NET-HOL,9
mzaske,HOL-2089-01-EMT-HOL,2
pbabbar,HOL-2002-92-CMP-HOL,5
mfrey,HOL-2022-01-NET-HOL,4
mfrey,HOL-2003-01-NET-HOL,8
mfrey,HOL-2003-01-NET-HOL,6
stuartd,HOL-2008-01-HCI-HOL,10
jpagaduan,HOL-2051-09-UEM-HOL,4
jackchen,HOL-2005-01-SDC-HOL,7
erausch,HOL-2051-03-VWS-HOL,5
mgandler,HOL-2002-01-CMP-HOL,9
mgandler,HOL-2002-01-CMP-HOL,9
skeery,HOL-2032-91-CNA-HOL,10
kasim,HOL-2051-12-UEM-HOL,0
sturdivantg,HOL-2051-10-UEM-HOL,9
bgillman,HOL-2046-01-HCI-HOL,4
hod,HOL-2011-01-SDC-HOL,9
dstreufert,HOL-2081-01-HBD-HOL,3
ppramuean,HOL-2046-01-HCI-HOL,1
msabol,HOL-2008-01-HCI-HOL,4
dlangley,HOL-2051-11-UEM-HOL,2
joshgreen,HOL-2013-01-SDC-HOL,1
rogino,HOL-2051-01-VWS-HOL,4
skeery,HOL-2032-01-CNA-HOL,4
svoskobo,HOL-2032-91-CNA-HOL,8
mmuraliram,HOL-2090-01-ISM-HOL,4
aronchetti,HOL-2026-91-NET-HOL,8
kodagiri,HOL-2001-91-ISM-HOL,6
msabol,HOL-2008-01-HCI-HOL,6
mgandler,HOL-2083-02-HBD-HOL,1
ppramuean,HOL-2032-01-CNA-HOL,8
dstreufert,HOL-2082-02-HBD-HOL,3
nmatsuyama,HOL-2005-02-HCI-HOL,2
svoskobo,HOL-2013-01-SDC-HOL,4
jgamino,HOL-2008-05-ODY-HOL,1
msabol,HOL-2008-01-HCI-HOL,0
ryansmith,HOL-2046-01-HCI-HOL,5
tharty,HOL-2051-10-UEM-HOL,2
mariadelosas,HOL-2037-91-NET-HOL,0
drollins,HOL-2040-01-NET-HOL,1
chandrabhus,HOL-2051-09-UEM-HOL,10
mkurdi,HOL-2008-04-ODY-HOL,10
asalhabkanga,HOL-2008-04-ODY-HOL,3
hkhairy,HOL-2011-01-SDC-HOL,0
okochva,HOL-2046-01-HCI-HOL,8
okochva,HOL-2008-01-HCI-HOL,5
okochva,HOL-2011-01-SDC-HOL,3
aschessner,HOL-2021-91-ISM-HOL,0
ysimonet,HOL-2026-01-NET-HOL,2
drichard,HOL-2012-01-SDC-HOL,6
vgibilaro,HOL-2026-01-NET-HOL,0
khongseok,HOL-2026-91-NET-HOL,6
rmelzer,HOL-2008-04-ODY-HOL,5
bhara,HOL-2022-01-NET-HOL,10
fzhao,HOL-2010-01-SDC-HOL,4
medinaja,HOL-2026-02-NET-HOL,6
aparise,HOL-2044-01-ISM-HOL,2
mkonopnicki,HOL-2051-02-VWS-HOL,5
bscoggins,HOL-2051-09-UEM-HOL,10
igrinshpon,HOL-2026-01-NET-HOL,10
egyurov,HOL-2002-02-CMP-HOL,1
khongseok,HOL-2026-01-NET-HOL,7
phillipst,HOL-2051-09-UEM-HOL,8
drollins,HOL-2046-01-HCI-HOL,4
sotani,HOL-2003-01-NET-HOL,0
jpagaduan,HOL-2051-09-UEM-HOL,1
junx,HOL-2002-02-CMP-HOL,4
aor,HOL-2026-01-NET-HOL,7
pbabbar,HOL-2011-91-SDC-HOL,3
jpagaduan,HOL-2051-09-UEM-HOL,3
cauch,HOL-2003-01-NET-HOL,10
strotter,HOL-2051-02-VWS-HOL,9
adauncey,HOL-2002-02-CMP-HOL,2
jpagaduan,HOL-2051-09-UEM-HOL,5
kajith,HOL-2081-01-HBD-HOL,0
abusam,HOL-2051-09-UEM-HOL,2
xluan,HOL-2010-01-SDC-HOL,6
xluan,HOL-2010-01-SDC-HOL,3
aiashasadaf,HOL-2042-01-NET-HOL,7
mwahidalam,HOL-2040-01-NET-HOL,6
rlamaa,HOL-2026-01-NET-HOL,7
abusam,HOL-2051-10-UEM-HOL,5
klatouche,HOL-2032-01-CNA-HOL,0
farita,HOL-2051-01-VWS-HOL,2
veerar,HOL-2010-01-SDC-HOL,7
pcalabrese,HOL-2008-01-HCI-HOL,1
hyoungjinp,HOL-2051-11-UEM-HOL,0
gchunyu,HOL-2021-01-CMP-HOL,6
jackchen,HOL-2005-01-SDC-HOL,8
pcalabrese,HOL-2046-01-HCI-HOL,10
bilala,HOL-2046-01-HCI-HOL,2
tkimura,HOL-2026-01-NET-HOL,8
ryansmith,HOL-2010-01-SDC-HOL,8
kodagiri,HOL-2008-91-HCI-HOL,7
mkara,HOL-2002-02-CMP-HOL,1
ibobburi,HOL-2026-01-NET-HOL,0
jgamino,HOL-2037-01-NET,9
kkarlinsey,HOL-2005-01-SDC-HOL,6
okadat,HOL-2011-91-SDC-HOL,8
hjinsung,HOL-2003-01-NET-HOL,5
ppramuean,HOL-2044-01-ISM-HOL,8
joeyd,HOL-2001-91-ISM-HOL,8
farita,HOL-2003-01-NET-HOL,8
mtakamatsu,HOL-2012-01-SDC-HOL,8
kodagiri,HOL-2004-01-SDC-HOL,0
salmans,HOL-2083-01-HBD-HOL,1
mkara,HOL-2002-92-CMP-HOL,7
anliu,HOL-2008-91-HCI-HOL,6
shahzadm,HOL-2031-01-CNA-HOL,8
hshimizu,HOL-2051-11-UEM-HOL,3
tlightfoot,HOL-2001-91-ISM-HOL,0
